geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
12029,0,2957,1798.99,4.02,119,72.4
12031,2,174901,1892.4,2.02,3537,38.27
12033,2,73388,2355.79,2.97,2182,70.04
12035,0,15136,1412.74,2.15,325,30.33
12037,0,242,206.2,0.0,0,0.0
12039,4,18240,3963.75,1.07,196,42.59
12041,0,2339,1327.85,0.0,0,0.0
12043,0,4681,3502.96,2.05,96,71.84
12045,0,493,307.07,0.0,0,0.0
12047,4,13447,9423.93,0.39,52,36.44
12049,3,10727,3939.69,0.37,40,14.69
12051,3,32025,7980.91,3.21,1027,255.94
12053,0,12702,695.25,3.05,388,21.24
12055,0,12773,1251.02,5.72,731,71.6
12057,2,274328,1989.49,2.13,5843,42.37
12059,0,3231,1662.89,0.0,0,0.0
12061,0,18296,1211.78,4.31,788,52.19
12063,4,15613,3221.03,0.35,55,11.35
12065,0,2652,1880.18,8.48,225,159.52
12067,4,816,933.21,0.0,0,0.0
12069,0,37731,1125.08,3.25,1225,36.53
12071,2,189077,2630.9,4.12,7795,108.46
12073,2,35819,1243.27,1.3,466,16.17
12075,0,5119,1281.0,0.7,36,9.01
12077,0,12783,15281.53,0.26,33,39.45
12079,4,6723,3639.17,3.27,220,119.09
12081,2,99004,2648.21,7.27,7195,192.46
12083,0,24462,702.18,2.21,541,15.53
12085,0,62268,3951.49,1.53,952,60.41
12086,3,1606680,5916.67,3.18,51084,188.12
12087,2,10642,1394.3,3.0,319,41.79
12089,0,7384,916.38,0.87,64,7.94
12091,2,23361,1163.76,1.85,433,21.57
12093,3,9172,2260.67,0.0,0,0.0
12095,2,263771,1996.46,1.27,3352,25.37
12097,3,70580,2084.35,1.96,1380,40.75
12099,2,541102,3741.34,4.9,26533,183.46
12101,0,48296,945.88,2.05,990,19.39
12103,2,167994,1753.82,3.94,6622,69.13
12105,3,105693,1580.64,4.03,4256,63.65
12107,4,13967,1919.44,2.43,339,46.59
12109,2,30170,1281.09,1.57,473,20.08
12111,2,53147,1739.15,4.69,2491,81.51
12113,2,22056,1294.05,3.35,739,43.36
12115,0,57119,1385.9,9.82,5609,136.09
12117,2,66912,1470.32,1.4,934,20.52
12119,0,21601,1785.22,6.16,1331,110.0
12121,0,16901,3847.78,7.86,1329,302.57
12123,0,2270,1027.24,0.18,4,1.81
12125,4,2166,1421.35,2.45,53,34.78
12127,0,70912,1343.96,4.14,2938,55.68
12129,1,2778,871.47,3.02,84,26.35
12131,0,9451,1435.06,4.59,434,65.9
12133,0,4087,1663.68,8.47,346,140.85
13001,4,11469,6214.91,7.16,821,444.89
13003,4,4012,4854.2,2.99,120,145.19
13005,4,8719,7765.41,2.14,187,166.55
13007,4,2708,8491.69,8.23,223,699.28
13009,4,26870,5933.4,6.1,1640,362.14
13011,1,5757,3110.21,0.38,22,11.89
13013,1,23930,3112.36,4.73,1131,147.1
13015,1,40527,3911.12,7.41,3005,290.0
13017,4,5949,3468.0,0.87,52,30.31
13019,4,3920,2060.45,0.1,4,2.1
13021,4,38163,2486.35,4.82,1839,119.81
13023,4,2990,2340.51,0.67,20,15.66
13025,1,4056,2185.23,4.22,171,92.13
13027,4,6500,4160.8,10.45,679,434.64
