geoid,total_cases,total_deaths
20155,4095,0
20157,395,0
20159,269,0
20161,6859,104
20163,541,0
20165,6,0
20169,3167,174
20171,794,0
20173,53260,1532
20175,58463,90
20177,25272,602
20179,179,0
20181,438,0
20183,180,0
20185,98,0
20187,618,0
20189,1810,0
20191,573,87
20193,183,0
20195,44,0
20197,2087,0
20201,25,0
20205,85,0
20207,545,0
20209,111814,5678
21001,7659,1220
21003,6058,202
21005,1408,106
21007,870,0
21009,3566,70
21011,650,66
21013,181,0
21015,30394,1037
21017,1308,111
21019,3544,257
21021,2078,0
21023,971,0
21025,352,0
21027,1323,93
21029,8342,302
21031,16090,710
21033,1064,0
21035,4118,89
21037,13079,861
21039,290,65
21041,1045,3
21043,990,0
21045,468,0
21047,11048,268
21049,4008,57
21051,1096,80
21053,313,0
21055,470,76
21057,417,0
21059,24827,511
21061,4199,559
21063,77,0
21065,114,0
21067,62129,1251
21069,432,0
21071,1403,0
21073,4565,84
21075,594,0
21077,2087,229
21079,594,0
21081,3223,282
21083,12226,1339
21085,8415,580
21087,172,18
21089,1262,0
21091,769,0
21093,7663,200
21095,502,28
21097,3073,0
21099,1889,0
21101,8712,236
21103,1436,46
21105,327,0
21107,18008,2308
21109,5475,879
21111,198073,12129
21113,5438,0
21115,427,0
21117,42224,2458
21119,357,0
21121,1156,0
21123,787,26
21125,2718,177
21127,268,0
21129,38,0
21131,451,0
21133,458,0
21135,760,0
21137,885,81
21139,554,0
21141,9384,408
21143,1356,253
21145,7724,201
21147,1103,0
21149,1613,5
21151,4966,91
21153,158,0
21155,2289,0
21157,3125,117
21159,307,0
21161,1065,0
21163,1509,144
21165,651,0
21167,1213,0
21169,373,67
21171,1386,9
21173,2180,0
21175,251,0
21177,32418,515
21179,3270,36
21181,230,0
21183,10588,0
21185,6150,238
21187,199,0
21189,175,0
21191,804,0
21193,1926,17
21195,2748,162
21197,207,0
21199,5077,179
21201,4,0
21203,1174,0
21205,705,0
21207,2216,286
21209,3902,0
21211,13745,403
21213,3885,224
21215,1717,0
21217,1327,36
21219,1470,0
21221,1001,0
21223,356,0
21225,1210,0
21227,69949,445
21229,806,0
21231,799,0
21233,2577,0
21235,1216,0
21237,68,0
21239,2936,0
22001,32522,1672
22003,14078,857
22005,70986,4239
22007,20956,839
22009,12306,713
22011,7474,378
22013,10811,1633
22015,38371,1904
22017,195593,13740
22019,57070,3469
22021,4818,31
22023,960,0
22025,8444,234
22027,6228,749
22029,5924,370
22031,21089,1279
22033,278608,17094
22035,11604,10
22037,15741,1957
22039,7876,66
22041,23759,707
22043,3156,54
22045,33308,2625
22047,45972,3108
22049,8460,769
22051,659952,35826
22053,10285,551
22055,77595,2271
22057,71447,5275
22059,4245,3
22061,13504,1036
22063,36438,2045
22065,10383,66
22067,9771,435
22069,12166,798
22071,641471,41842
22073,106096,3366
22075,18311,1432
22077,14141,1654
22079,62217,2296
22081,3508,516
22083,9618,163
22085,3374,37
22087,46919,1754
22089,55254,3666
22091,4189,80
22093,26002,2025
22095,73814,6617
22097,25679,3983
22099,29343,1835
22101,25248,2270
22103,144562,11796
22105,70825,2686
22107,965,0
22109,55028,3794
22111,22127,1208
22113,6798,270
22115,3585,252
22117,35204,2715
22119,15483,558
22121,13972,2196
22123,4250,89
22125,15348,725
22127,10386,240
23001,19991,202
23003,801,44
23005,87447,3516
23007,2674,71
23009,952,58
23011,10404,650
23013,1720,32
23015,1633,0
23017,2227,0
23019,7618,85
23021,100,0
23023,2329,4
23025,1784,0
23027,4288,1050
23029,162,0
23031,29624,755
24001,12537,1024
24003,273338,11948
24005,436995,23354
24009,23498,1288
24011,16340,72
24013,64079,6536
24015,26920,1536
24017,79561,5206
24019,9701,239
24021,137009,7199
24023,698,2
24025,61667,3157
24027,137110,4143
24029,11379,1161
24031,784053,40410
24033,1045809,37259
24035,10944,837
24037,32119,1828
24039,4774,125
24041,6566,191
24043,33721,1082
24045,61396,1875
24047,14100,750
24510,385943,17622
25001,103998,7769
25003,46817,3339
25005,494490,29296
25007,2607,56
25009,1039147,63778
25011,26479,3815
25013,441339,42217
25015,62765,5841
25017,1597429,110948
25019,1153,7
25021,630049,58115
25023,579435,38275
25025,1369331,62094
25027,763405,49448
26001,988,66
26003,55,0
26005,16234,329
26007,7265,661
26009,1089,1
26011,2473,91
26013,113,0
26015,5254,127
26017,22119,1437
26019,382,0
26021,49463,3150
26023,68390,1683
26025,29417,1693
26027,6324,240
26029,1633,106
26031,1869,109
26033,336,8
26035,1490,158
26037,13500,840
26039,4670,355
26041,1474,171
26043,447,178
26045,16698,543
26047,2143,188
26049,175904,19409
26051,1511,76
26053,452,101
26055,2664,436
26057,5019,560
26059,13529,1800
26061,451,0
26063,3440,91
26065,58011,1742
26067,10870,268
26069,6302,645
26071,113,8
26073,6824,618
26075,124445,3535
26077,58951,3583
26079,2066,188
26081,254077,6254
26083,25,0
26085,387,0
26087,32567,2654
26089,960,0
26091,49004,486
26093,39356,1992
26095,263,0
26097,587,0
26099,562079,62654
26101,1670,16
26103,4508,801
26105,2268,0
26107,1770,163
26109,634,0
26111,8400,593
26113,1504,100
26115,38283,1444
26117,5290,89
26119,396,0
26121,43797,2499
26123,6732,0
26125,792419,75724
26127,7520,170
26129,1798,64
26131,1,0
26133,1221,0
26135,639,58
26137,9162,747
26139,52123,2482
26141,864,0
26143,1745,0
26145,78182,7521
26147,36646,2791
26149,10374,168
26151,3472,432
26153,317,0
26155,18176,1600
26157,13961,1705
26159,10868,425
26161,142070,7622
26163,1707691,186809
26165,1310,197
27001,557,0
27003,89105,4468
27005,2545,0
27007,1242,0
27009,10376,161
27011,556,0
27013,11361,57
27015,1248,138
27017,5644,0
27019,13784,92
27021,807,112
27023,2918,40
27025,3962,93
27027,28360,1854
27029,316,0
27031,22,0
27033,5591,0
27035,4623,343
27037,86843,3517
27039,3750,0
27041,2466,0
27043,1579,0
27045,1568,57
27047,10401,0
27049,4951,263
27051,266,0
27053,534593,40560
27055,451,0
27057,171,0
27059,2399,0
27061,3267,512
27063,2760,0
27065,686,47
27067,30099,68
27069,87,0
27071,475,7
27073,230,0
27075,135,0
27079,3862,54
27081,413,0
27083,8261,63
27085,2674,0
27087,374,60
27089,663,0
27091,10017,432
27093,2797,29
27095,1296,82
27097,2599,24
27099,27651,81
27101,2554,0
27103,5205,532
27105,99100,271
27107,995,0
27109,47836,828
27111,4153,30
27113,1650,0
27115,6129,0
27117,860,7
27119,4242,109
27121,492,0
27123,191247,8893
27125,214,0
27127,506,0
27129,754,21
27131,30461,199
27133,1567,0
27135,260,0
27137,9056,1037
27139,26833,188
27141,14194,143
27143,1293,49
27145,120892,846
27147,9623,3
27149,72,0
27151,1011,30
27153,16170,60
27155,312,0
27157,1523,0
27159,559,0
27161,2042,0
27163,42503,1997
27165,5798,0
27167,1114,241
27169,6801,1198
27171,18985,146
27173,744,0
28001,15234,1108
28003,1806,68
28005,4299,96
28007,19370,985
28009,1306,0
28011,13393,839
28013,5724,298
28015,8031,583
28017,10903,968
28019,3245,173
28021,7355,290
28023,9790,1121
28025,9346,325
28027,9392,313
28029,22622,374
28031,11879,137
28033,48811,681
28035,39687,2310
28037,2109,115
28039,2398,121
28041,2328,171
28043,9415,204
28045,7392,843
28047,26040,579
28049,83839,1718
28051,26846,1890
28053,4697,498
28055,64,8
28057,6525,484
28059,27795,1038
28061,10838,257
28063,3339,73
28065,5264,177
28067,42774,1730
28069,9532,662
28071,12775,296
28073,17939,360
28075,50885,4263
28077,7194,44
28079,29419,730
28081,16025,660
28083,21625,2442
28085,20642,1761
28087,16443,514
28089,52534,1627
28091,9756,610
28093,7485,229
28095,19164,1713
28097,5959,107
28099,43793,2570
28101,17071,292
28103,12102,324
28105,17704,896
28107,8048,261
28109,16976,2106
28111,3640,201
28113,17195,758
28115,5360,231
28117,4217,181
28119,2644,0
28121,33385,628
28123,43147,660
28125,750,0
28127,8041,47
28129,10779,659
28131,2522,18
28133,8911,294
28135,2797,94
28137,8216,114
28139,6910,884
28141,2315,18
28143,4564,209
28145,6227,400
28147,6009,51
28149,14821,622
28151,15878,478
28153,15835,249
28155,5043,335
28157,6918,712
28159,9106,100
28161,6775,288
28163,20789,291
29001,3902,0
29003,1852,0
29005,232,0
29007,4919,38
29009,1210,0
29011,374,0
29013,768,83
29015,881,0
29017,574,0
29019,15263,132
29021,43518,169
29023,3386,0
29025,448,0
29027,2751,90
29029,3651,99
29031,6750,169
29033,535,0
29035,404,92
29037,7686,629
29039,723,0
29041,512,0
29043,2369,3
29045,106,0
29047,16396,340
29049,1520,0
29051,5226,105
29053,809,0
29055,725,0
29057,20,0
29059,396,11
29061,361,0
29063,516,0
29065,87,0
29067,108,0
29069,3676,185
29071,12526,1156
29073,294,0
29075,2064,237
29077,14363,779
29079,437,0
29081,736,0
29083,983,186
29087,86,0
29089,250,0
29091,1155,0
29093,172,0
29095,52856,1712
29097,8752,11
29099,30332,1175
29101,6626,0
29103,50,0
29105,602,0
29107,5749,142
29109,724,7
29111,494,74
29113,6186,88
29115,709,83
29117,390,0
29119,10133,11
29121,366,0
29123,230,0
29125,224,0
29127,562,0
29129,160,0
29131,414,0
29133,4127,0
29135,3591,50
29137,138,0
29139,883,0
29141,662,0
29143,1739,51
29145,7077,92
29147,840,0
29149,245,0
29151,471,0
29153,20,0
29155,5763,299
29157,5855,0
29159,5622,54
29161,577,0
29163,1675,54
29165,5774,146
29167,381,0
29169,4944,95
29171,52,0
29173,320,0
29175,861,0
29177,1476,0
29179,195,0
29181,750,0
29183,64971,4434
29185,175,0
29186,969,90
29187,4135,140
29189,381884,29409
29195,18474,124
29197,108,0
29199,504,25
29201,8650,546
29203,228,0
29205,133,0
29207,5948,275
29209,533,0
29211,3751,0
29213,1704,152
29215,82,0
29217,714,2
29219,2372,0
29221,938,71
29223,48,0
29225,1485,12
29227,231,0
29229,1050,0
29510,147983,8848
30001,92,0
30003,2151,71
30007,416,0
30009,730,0
30013,1700,154
30017,476,0
30021,89,0
30023,298,0
30027,34,0
30029,3742,157
30031,15929,68
30035,587,0
30037,243,0
30039,28,0
30041,102,0
30043,261,0
30047,654,0
30049,1776,0
30051,96,0
30053,688,100
30057,801,97
30059,106,0
30063,4076,92
30065,98,0
30067,762,0
30073,159,0
30081,1021,0
30083,389,0
30085,598,0
30087,153,9
30091,2,0
30093,1154,0
30095,157,0
30099,20,0
30101,2636,517
30103,22,0
30105,32,0
30107,72,0
30111,9139,198
31001,19228,634
31003,512,11
31007,28,0
31011,317,0
31013,155,0
31015,34,0
31019,11628,96
31021,597,0
31023,2629,0
31025,2857,8
31027,548,0
31029,42,0
31031,95,0
31033,805,0
31035,1508,0
31037,36654,187
31039,1828,4
31041,2790,298
31043,107339,1462
31045,86,0
31047,55723,432
31051,2070,39
31053,29588,174
31055,288066,3366
31059,502,34
31061,438,0
31063,67,0
31065,516,25
31067,3597,287
31069,133,0
31071,31,0
31073,948,0
31077,175,0
31079,108485,2937
31081,4415,808
31083,19,0
31087,66,0
31089,88,0
31091,4,0
31093,2573,167
31095,472,0
31097,437,0
31099,803,0
31101,136,0
31103,1,0
31105,914,0
31107,764,0
31109,78857,541
31111,3660,165
31115,1,0
31119,20846,293
31121,2220,0
31123,904,0
31125,278,0
31127,261,0
31129,53,0
31131,650,0
31135,1,0
31137,1199,0
31139,305,0
31141,34928,86
31143,785,0
31145,356,0
31147,118,25
31149,13,0
31151,30562,89
31153,44487,276
31155,2869,77
31157,8213,63
31159,1805,75
31161,39,0
31163,243,0
31165,79,0
31167,1187,0
31169,37,0
31171,60,0
31173,3095,23
31175,304,0
31177,2875,83
31179,1063,0
31181,396,0
31185,2294,0
32001,591,76
32003,602638,25578
32005,2854,0
32007,3167,92
32011,9,0
32013,5543,269
32015,1491,0
32017,111,0
32019,5064,63
32021,286,0
32023,5024,110
32027,171,0
32029,59,0
32031,128800,4271
32033,268,0
32510,7189,251
33001,4881,24
33003,3895,0
33005,4356,176
